pop	pop#	ntox	tox	toxse	normtox	normtoxse	viewer	background	noise	vord	dl	ds	euc	qt	qtse	normqt	dluvminus	dsuvminus	eucuvminus
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	pumilio	bark	fix	v	0.731414818	0.513019253	0.736454738	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	pumilio	bark	sp	v	0.731414818	0.513019253	0.736454738	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	pumilio	heli	fix	v	0.658987153	0.51294416	0.675169166	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	pumilio	heli	sp	v	0.658987153	0.51294416	0.675169166	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	pumilio	leaf	fix	v	0.687284669	0.512995509	0.698244062	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	pumilio	leaf	sp	v	0.687284669	0.512995509	0.698244062	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	bark	fix	d	0.652560953	0.737551334	0.653998083	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	bark	sp	d	0.652560953	0.737551334	0.653998083	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	heli	fix	d	0.554486977	0.742405968	0.559561371	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	heli	sp	d	0.554486977	0.742405968	0.559561371	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	leaf	fix	d	0.593427896	0.740612862	0.596699138	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	leaf	sp	d	0.593427896	0.740612862	0.596699138	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	bark	fix	v	0.76175371	0.566150964	0.762113748	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	bark	sp	v	0.76175371	0.566150964	0.762113748	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	heli	fix	v	0.707603624	0.574988635	0.708893366	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	heli	sp	v	0.707603624	0.574988635	0.708893366	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	leaf	fix	v	0.728538694	0.571690273	0.729390802	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	snake	leaf	sp	v	0.728538694	0.571690273	0.729390802	7779.902672	331.1174465	0.459080909	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	leaf	sp	d	0.373810259	0.531972684	0.415358469	5510.408896	181.5395415	0.638964376	0.373810259	0.529712847	0.41491725
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	bark	sp	d	0.593306697	0.633580589	0.599321679	5510.408896	181.5395415	0.638964376	0.593306697	0.629485133	0.598718033
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	heli	sp	d	0.391992956	0.657286311	0.499022677	5510.408896	181.5395415	0.638964376	0.391992956	0.656815286	0.499107072
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	bark	fix	d	0.593306697	0.633580589	0.599321679	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	heli	fix	d	0.391992956	0.657286311	0.499022677	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	leaf	fix	d	0.373810259	0.531972684	0.415358469	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	bark	fix	v	0.717342166	0.784869357	0.765669463	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	bark	sp	v	0.717342166	0.784869357	0.765669463	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	heli	fix	v	0.6247879	0.803618152	0.75959446	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	heli	sp	v	0.6247879	0.803618152	0.75959446	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	leaf	fix	v	0.617439695	0.738059352	0.684223366	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	bird	leaf	sp	v	0.617439695	0.738059352	0.684223366	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	bark	fix	d	0.232286122	0.44827207	0.285287752	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	bark	sp	d	0.232286122	0.44827207	0.285287752	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	heli	fix	d	0.414012456	0.090781579	0.400198138	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	heli	sp	d	0.414012456	0.090781579	0.400198138	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	leaf	fix	d	0.038916411	0.180901502	0.071238423	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	leaf	sp	d	0.038916411	0.180901502	0.071238423	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	bark	fix	v	0.305484209	0.030501042	0.304195969	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	bark	sp	v	0.305484209	0.030501042	0.304195969	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	heli	fix	v	0.022660615	0.248539739	0.144827859	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	heli	sp	v	0.022660615	0.248539739	0.144827859	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	leaf	fix	v	0.167971966	0.218703272	0.197009819	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	crab	leaf	sp	v	0.167971966	0.218703272	0.197009819	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	bark	fix	d	0.698736343	0.828287724	0.749710878	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	bark	sp	d	0.698736343	0.828287724	0.749710878	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	heli	fix	d	0.591134655	0.828248267	0.707986278	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	heli	sp	d	0.591134655	0.828248267	0.707986278	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	leaf	fix	d	0.634893748	0.828272724	0.721269753	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	leaf	sp	d	0.634893748	0.828272724	0.721269753	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	bark	fix	v	0.655448912	0.876894462	0.724487229	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	bark	sp	v	0.655448912	0.876894462	0.724487229	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	heli	fix	v	0.562536003	0.87686494	0.689540017	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	heli	sp	v	0.562536003	0.87686494	0.689540017	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	leaf	fix	v	0.598837112	0.876882655	0.70065583	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	pumilio	leaf	sp	v	0.598837112	0.876882655	0.70065583	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	bark	fix	d	0.730020289	0.86699343	0.732250809	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	bark	sp	d	0.730020289	0.86699343	0.732250809	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	heli	fix	d	0.653811285	0.868748689	0.659605076	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	heli	sp	d	0.653811285	0.868748689	0.659605076	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	leaf	fix	d	0.684070573	0.868113339	0.688162734	5510.408896	181.5395415	0.638964376	NA	NA	NA
